hotel_id,hotel_name,hotel_price
1,Suryagarh,146
2,Hotel Jaisalkot,201
3,Jaisalmer Marriott Resort & Spa,168
4,Sunrise Desert Resort,57
5,Hotel Tokyo Palace,27
6,Hotel Rang Mahal,60
7,Jaisalmer Marriott Resort & Spa,168
8,Shiv Tara Desert Camp,321
9,Mystic Jaisalmer,78
10,Hotel heera Court,67
11,Hotel Antra Inn Jaisalmer,67
12,WelcomHeritage Mandir Palace,66
13,Amazing Desert Camp,181
14,Aroma Desert Safari Camp,36
15,Sam Desert Den,74
16,The Bheemgarh,43
17,Hotel Pleasant Haveli,33
18,1st Gate Home - Fusion,99
19,Hotel Heritage House,33
20,Classic Thar Resort,47
21,Hotel Fifu,29
22,DholaMaru Grand,87
23,Hotel Romany Haveli Jaisalmer,14
24,Bhati Desert camp Sam,37
25,Hotel Helsinki House,24
26,Royal Villa Jaisalmer,29
27,Hotel Chouhan Palace,72
28,Hotel Classic Jaisalmer,14
29,Treebo Trip Chandrangan Excellency,34
30,Hotel Marina Mahal,67
31,Hotel Royal Haveli,25
32,Gaji Hotel,13
33,Hotel Swan Haveli,32
34,Patel Desert Camp,67
35,Sairafort Sarovar Portico,52
36,Hotel Shahi Palace,18
37,Golden Haveli,52
38,The Legend Haveli,33
39,Abu Safari Jaisalmer,3
40,Desert Overnight Camp,233
41,Hotel Imperial,30
42,Royal Desert Camps,66
43,Hotel Radhika Jaisalmer,16
44,Sky Desert Safari,61
45,Hotel Paradise,29
46,Hotel Sky Plaza,52
47,Royal Jaisalmer Resort with Swimming  Pool,120
48,Mahadev Palace,30
49,Hotel Pol Haveli,10
50,Gorakh Haveli,25
51,K K Resorts & Camp,63
52,OYO 24960 Amigo Camps,59
53,Hotel Akashdeep,27
54,Himmatgarh Palace,30
55,Hotel Rose Fort Jaisalmer,12
56,Prithvi Palace,17
57,Bhimkothi Entire boutique homestay,60
58,Charming Home in City Center Jaisalmer,81
59,Heritage Juma Resort Camp,87
60,Aroma Desert Safari Camp - Overnight Camping in Jaisalmer,29
61,As my native place is Jaisalmer so I want to promote my jaisalmer's culture and traditions and destinations so I started this home stay. I also live in my home stay with my family so that not only I but my whole family can host you better. You can feel...,20
62,Private rooms in the heart of the Golden City,8
63,OYO 1397 Rana Villa,62
64,Limra Desert Camp Jaisalmer,60
65,Moustache Jaisalmer,18
66,Sangram Desert Camp,60
67,Hotel Pansari Palace,18
68,Hotel Lal Garh Fort And Palace,
69,Treebo Trend Desert Boutique Resort,
70,Gorbandh Palace,
71,Royal Golden Camp,
72,The Secret House - Adults Only,
73,Oasis Camp Sam,
74,Rajasthan Adventure Resort,
75,Desert Glamping,
76,The Gulaal,
77,Casa de kaku,
78,Wind Desert Camp,
79,Hotel Sparrow Palace,
80,ADB Rooms Hotel Yellow Stone Jaisalmer,
81,Hotel Rawal Kot,
82,KF Resort,
83,Hotel Thakur Ji Palace,
84,Bhawana Camp and Resorts,
85,Kasam Desert Safari Camp,
86,Jaipur Desert Camp,
87,Desert Dunes Jaisalmer,
88,Blessing Hotel,
89,Aapni Haveli,
90,Amit Palace,
91,Desert Dream Royal Camp,
92,Damodra Desert Camp,
93,Royal Sam Camp,
94,OYO 26134 Dhanak Desert Camp And Resort,
95,Chandigarh Desert  Camp,
96,OYO 10081 Tent Desert Banjara Resort,
97,Sahara Desert Camp,
98,Paddav Tented Suites,
99,OYO 28326 Hotel Siddhi Vinayak,
100,Pride Jaisalmer,
101,Golden Paradise Desert Resort,
102,Desert Ambience Resort,
103,Sam Sand Dunes Desert Safari,
104,OYO 10358 Chouhan Haveli,
105,Swagat Desert Camp,
106,OYO 7485 Hotel Apollo,
107,Kanj Sand Voyages Camp,
108,OYO 10132 Hotel Regal Inn,
109,Mahadev Palace,
110,Hotel Heritage Inn,
111,OYO 26228 Royal Camps,
112,Ratnawali Camps,
113,Heritage Inn,
114,Aspirants Trishul Desert Resort,
115,Golden Dune Camp,
116,Desert Moon,
117,Thakur Ji Resort,
118,GuestHouser 1 BR Heritage 3882,
119,Exotic Luxury Camps,
120,Royal Orchid Camp,
