hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
1,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",Jaipur,India,"26.918753, 75.791663",84.0
2,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",Jaipur,India,"26.840895, 75.796167",112.0
3,Hilton Jaipur,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","42 Geejgarh House Hawa Sadak, Jaipur, Rajasthan, 302006",Jaipur,India,"26.901508, 75.783514",91.0
4,"Trident, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Amber Fort Road Opposite Jal, Jaipur, Rajasthan, 302002",Jaipur,India,"26.956677, 75.843231",83.0
5,The Oberoi Rajvilas,4.8,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Goner Road, Jaipur, Rajasthan, 303012",Jaipur,India,"26.876067, 75.882354",381.0
6,Umaid Bhawan - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Behari Marg, Bank Road, bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.92844, 75.79236",51.0
7,Radisson Jaipur City Center,4.0,Very Good,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khasa Kothi Circle, M.I. Road, Jaipur, Rajasthan, 302001",Jaipur,India,"26.920224, 75.794316",64.0
8,Umaid Mahal - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","C-20/B2 Behari Marg Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.927879, 75.78891",40.0
9,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",Jaipur,India,"26.863574, 75.796034",94.0
10,"Devi Ratn, Jaipur -IHCL SeleQtions",4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool']","Jamdoli, Agra Road, Tehsil Ballupura, Jaipur, Rajasthan, 302031",Jaipur,India,"26.916746, 75.880932",160.0
11,5 BY OYO METROPOLITAN,4.1,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Near Nehru Sehkar Bhawan, C Scheme, Jaipur, RJ, 302007",Jaipur,India,"26.902057, 75.793617",153.0
12,Radisson Blu Jaipur,3.8,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018",Jaipur,India,"26.842498, 75.793736",94.0
13,"Crowne Plaza Jaipur Tonk Road, an IHG Hotel",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","SP1, Sitapura (RIICO), Tonk Road, Jaipur, Rajasthan, 302022",Jaipur,India,"26.779667, 75.827339",99.0
14,Indana Palace Jaipur,4.5,Wonderful,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Kukas, Jaipur Delhi Highway, Jaipur, Rajasthan, 302028",Jaipur,India,"27.028725, 75.808142",93.0
15,Royal Heritage Haveli,4.4,Excellent,"['Air conditioning', 'Spa', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry']","Khatipura Tiraya, Khatipura Road, Jaipur, Rajasthan, 302012",Jaipur,India,"26.925373, 75.745785",146.0
16,Umaid Haveli Hotel & Resorts,3.8,Good,"['Air conditioning', 'Spa', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry']","CP-5 RIICO Kukas, Amer, Rajasthan, 302028",Jaipur,India,"27.029656, 75.89593",51.0
17,Narain Niwas Palace,4.5,Wonderful,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","J-5, Narayan Singh Road, Jaipur, RJ, 302004",Jaipur,India,"26.899523, 75.813088",113.0
18,Pearl Palace Heritage,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Room service']","54 , Gopal Bari, Jaipur, RJ, 302001",Jaipur,India,"26.91593, 75.79243",39.0
