hotel_id,hotel_name,hotel_price
1,Fairfield by Marriott Jodhpur,160
2,Taj Hari Mahal Jodhpur,136
3,RAAS Jodhpur,266
4,Radisson Jodhpur,87
5,The Ajit Bhawan - A Palace Resort,191
6,"Welcomhotel by ITC Hotels, Jodhpur",101
7,Clarks Inn Jodhpur,37
8,Fairfield by Marriott Jodhpur,160
9,Indana Palace Jodhpur,173
10,Park Plaza Jodhpur,64
11,Hotel  Ratan  Vilas,80
12,Zone By The Park Jodhpur,60
13,The Ummed Jodhpur Palace Resort & Spa,73
14,Mihir Garh,596
15,Haveli Inn Pal,42
16,Hotel City Square by KeyMagics,60
17,The Rohet House,224
18,Kankariya Heritage,43
19,Chandra Inn,31
20,Krishna Prakash Heritage Haveli,22
21,Singhvi's Haveli,19
22,Hotel Apex International,54
23,The Fern Residency Jodhpur,60
24,Jee Ri Haveli,27
25,Rohet Garh,154
26,The Prem Beacon Jodhpur,30
27,Juna Mahal,34
28,Pukhraj Garh Jodhpur,54
29,Mandore Guest House,38
30,OYO 46815 Banaji Home Stay,58
31,Hotel The Balam,27
32,Jog Niwas,40
33,Anand Villa Holiday Home,280
34,Govind Hotel,7
35,"Bijolai Palace, Jodhpur",54
36,Nature Trail Camps & Homestay,12
37,Treebo Trend The Marwar Hotel and Garden Jodhpur,27
38,Rawat Resorts,40
39,Luxurious 3 bedroom house with kitchen and living area,60
40,Raj Mandir Boutique Home Stay,30
41,Lavish 6 bedroom house in the heart of the city,47
42,Shyam Palace Guest House,12
43,Marugarh Resort and Spa,155
44,Guesthouse & Restaurant with Beautiful view of Mountains in the hart of the city,30
45,I followed my heart and made this cosy Guest House,56
46,Jee Ri Haveli - View of Gulab Sagar Lake & Mehrangarh Fort....,23
47,Treebo Trend City Center,30
48,Guest house is very close to world renowned Mehrangarh Fort,15
49,Kuchaman Haveli,34
50,Beautiful heritage experiences at Jodhpur,23
51,"A traditional place in the heart of BJS, Jodhpur",10
52,Parkk Boutique Jodhpur,43
53,Chhotaram Prajapat,32
54,Shree Mohan Villas- Heritage Hotel,12
55,Moustache Jodhpur,15
56,Osian The Desert Boutique Hotel,54
57,Hariyali Dhani Camps and Resorts,80
58,"Fort Khejarla, Jodhpur",98
