hotel_id,hotel_name,hotel_price
1,Jaipur Marriott Hotel,94
2,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",72
3,Hilton Jaipur,68
4,"Trident, Jaipur",74
5,The Oberoi Rajvilas,363
6,5 BY OYO METROPOLITAN,67
7,"Crowne Plaza Jaipur Tonk Road, an IHG Hotel",54
8,Rambagh Palace,500
9,"Four Points by Sheraton Jaipur, City Square",61
10,Treebo Trend Airport View,22
11,Umaid Bhawan - A Heritage Style Boutique Hotel,57
12,The Leela Palace Jaipur,202
13,"Devi Ratn, Jaipur -IHCL SeleQtions",208
14,Radisson Jaipur City Center,54
15,Umaid Mahal - A Heritage Style Boutique Hotel,46
16,Buena Vista Luxury Resort,290
17,Radisson Blu Jaipur,97
18,Alsisar Haveli - A Heritage Hotel,101
19,Royal Heritage Haveli,143
20,Umaid Haveli Hotel & Resorts,109
21,Ramada by Wyndham Jaipur,90
22,Jaipur Marriott Hotel,94
23,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",72
24,Hilton Jaipur,68
25,Narain Niwas Palace,89
26,Wood Garden Hide,60
27,ibis Jaipur Civil Lines Hotel,47
28,"Holiday Inn Jaipur City Centre, an IHG Hotel",67
29,Pearl Palace Heritage,40
30,Zone by The Park Bani Park Jaipur,86
31,Vesta International,28
32,Hotel Empire Regency,54
33,Dera Rawatsar - Heritage Hotel,45
34,Royal Orchid Central Jaipur,57
35,"Tree of Life Chhota Mahal, Amer, Jaipur",96
36,Hotel Royal Orchid,56
37,Crimson Park - The Heritage,64
38,The Fern Residency Jaipur,30
39,County Inn Hotel,97
40,Khandwa Haveli,43
41,Barwara Kothi,60
42,Hotel 360,27
43,Pink Pearl Resort and Fun City,32
44,Khas Bagh,73
45,Hotel Triveni Residency,17
46,The Fern - An Ecotel Hotel Jaipur,64
47,"Four Points by Sheraton Jaipur, City Square",61
48,Sanskar Prime Hotel,42
49,Hotel Royal Empire,51
50,Le Méridien Jaipur Resort & Spa,114
