hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
1,Suryagarh,4.7,Exceptional,"['Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry']","Kahala Phata Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.915833, 70.778365",146.0
2,Hotel Jaisalkot,4.4,Excellent,"['Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool']","Kuldhara Turn, Off Sam Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.907567, 70.785272",201.0
3,Jaisalmer Marriott Resort & Spa,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Jaisalmer-Sam-Dhanana Road, Police Line, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91573, 70.899416",168.0
4,Sunrise Desert Resort,3.5,Good,"['Spa', 'Free WiFi', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","Sam Sand Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.913951, 70.553241",57.0
5,Hotel Tokyo Palace,4.2,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Near Fort, Airforce Chouraha, Dhibba Para, Jaisalmer, Rajasthan, 345 001",Jaisalmer,India,"26.909939, 70.912569",27.0
6,Hotel Rang Mahal,4.1,Very Good,"['Hot Tub', 'Spa', 'Free WiFi', 'Air conditioning', 'Parking included', 'Laundry']","5-6 Hotel Complex, Sam Road, P.B. No.50, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.915632, 70.886555",60.0
7,Jaisalmer Marriott Resort & Spa,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Jaisalmer-Sam-Dhanana Road, Police Line, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91573, 70.899416",168.0
8,Shiv Tara Desert Camp,4.4,Wonderful,"['Parking included', 'Breakfast included', 'Restaurant', 'Room service', 'Housekeeping', '24/7 front desk']","Opp sam sand dunes, Sam Village, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.83008, 70.53435",321.0
9,Mystic Jaisalmer,3.9,Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Near Gadisar gate, Dhibba Para, Old City, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.911927, 70.918261",78.0
11,Hotel Antra Inn Jaisalmer,4.7,Exceptional,"['Free airport shuttle', 'Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry']","Opposite Bhomi Vikas Bank, C.V. Singh Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.917405, 70.904995",67.0
12,WelcomHeritage Mandir Palace,4.2,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Gandhi Chowk, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91513, 70.91016",66.0
13,Amazing Desert Camp,4.5,Wonderful,"['Parking included', 'Breakfast included', 'Restaurant', 'Bar', 'Room service', 'Housekeeping']","7 Km Mile Stone Road, Sam Sand Dunes, Kanoi, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.867436, 70.543552",181.0
14,Aroma Desert Safari Camp,5.0,Exceptional,"['Spa', 'Free WiFi', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","Sand Dunes, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.839243, 70.541704",36.0
15,Sam Desert Den,4.5,Wonderful,"['Spa', 'Parking included', 'Pet friendly', 'Outdoor Space', '24/7 front desk', 'Restaurant']","Sam road Sam sand dunes, Opposite national park, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.86659, 70.56661",74.0
16,The Bheemgarh,3.9,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","No 33 Air Force School Rd, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.906287, 70.911118",43.0
17,Hotel Pleasant Haveli,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Chainpura Street, Gandhi Chowk, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.917717, 70.911426",33.0
18,1st Gate Home - Fusion,4.9,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.91254, 70.915339",99.0
19,Hotel Heritage House,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","583 Hotel Heritage House, Anchalvanshi Colony, Jaisalmer 345001, Jaisalmer, RAJASHTHAN, 345001",Jaisalmer,India,"26.92334, 70.90874",33.0
20,Classic Thar Resort,4.5,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","sand dunes, Jaisalmer, RJ, 345001",Jaisalmer,India,"26.855713, 70.551591",47.0
21,Hotel Fifu,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Opposite: Nagar Palika, Bera Road, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.908906, 70.914123",29.0
22,DholaMaru Grand,3.7,Very Good,"['Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Business services', 'Bar']","Mohangarh Rd, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.922818, 70.923103",87.0
23,Hotel Romany Haveli Jaisalmer,3.8,Very Good,"['Free WiFi', 'Parking included', 'Breakfast included', 'Restaurant', 'Housekeeping', '24/7 front desk']","Fort area near National Handloom, Dhibba Para Manak Chowk Amar Sagar Pol, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.9113, 70.9147",14.0
24,Bhati Desert camp Sam,4.1,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Breakfast included', 'Laundry', 'Pet friendly']","84/514 sam Village & Post, Sam Dunes, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.85615, 70.552254",37.0
25,Hotel Helsinki House,4.6,Wonderful,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Bera Road Opp Nagar Palika, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.903922, 70.911994",24.0
26,Royal Villa Jaisalmer,5.0,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","near airforce circle, Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.909652, 70.912319",29.0
27,Hotel Chouhan Palace,4.7,Exceptional,"['Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant', 'Bar']","Jodhpur Road, Opp. BSF Gate, Indira Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.916956, 70.939487",72.0
29,Treebo Trip Chandrangan Excellency,4.0,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","near Geeta Ashram, Bhaskar Mohalla,, Sadar Bazar, Jaisalmer,, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.918005, 70.909096",34.0
30,Hotel Marina Mahal,4.8,Exceptional,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Dr. K. L. Achalvanshi Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.922103, 70.909016",67.0
31,Hotel Royal Haveli,4.1,Very Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Near Airforce Cricle, Dhibba Para, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.909885, 70.912613",25.0
32,Gaji Hotel,4.8,Exceptional,"['All inclusive', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Near sunset Point, Kalakar colony, Jaisalmer, Jaisalmer, 345001",Jaisalmer,India,"26.91909, 70.91164",13.0
33,Hotel Swan Haveli,4.0,Very Good,"['Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service', 'Housekeeping']","Near Sunset point, Patwa Haveli Road, Kalakar Colony, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.919167, 70.911479",32.0
34,Patel Desert Camp,3.7,Very Good,"['Free WiFi', 'Parking included', 'Laundry', 'Outdoor Space', '24/7 front desk', 'Restaurant']","142/573, Near Parking Area Sam, Jaisalmer, Rajasthan, 345001",Jaisalmer,India,"26.829807, 70.502253",67.0
